open_time,open,high,low,close,volume
1640995200000,46210.57,46530.99,46210.55,46335.10,2905.234
1640996100000,46335.10,46422.00,46239.00,46378.60,1295.390
1640997000000,46378.59,46698.15,46358.97,46607.10,2593.769
1640997900000,46607.10,46729.73,46567.49,46650.01,2163.072
1640998800000,46650.00,46774.16,46570.34,46771.93,1632.459
1640999700000,46771.94,46944.56,46752.38,46799.99,2825.883
1641000600000,46799.99,46868.00,46725.69,46748.38,1667.329
1641001500000,46748.39,46857.60,46705.87,46766.78,1150.578
1641002400000,46767.44,46858.42,46759.65,46831.87,1165.635
1641003300000,46834.19,46917.87,46810.23,46810.24,1372.036
1641004200000,46810.23,46811.73,46709.44,46765.57,1033.842
1641005100000,46766.00,46850.00,46755.07,46796.14,907.200
1641006000000,46796.15,46847.00,46746.32,46812.59,884.784
1641006900000,46812.59,46888.00,46762.17,46794.13,1265.897
1641007800000,46794.13,46886.00,46784.84,46859.99,1019.890
1641008700000,46858.37,46885.81,46786.26,46789.56,1038.421
1641009600000,46789.55,46868.74,46605.60,46631.70,1820.747
1641010500000,46631.70,46707.62,46605.00,46693.01,1681.400
1641011400000,46694.98,46748.67,46625.00,46724.67,1048.830
1641012300000,46724.68,46828.41,46690.00,46690.81,1598.321
1641013200000,46690.81,46769.31,46657.99,46765.00,987.825
1641014100000,46765.00,47492.38,46746.39,47377.99,7264.403
1641015000000,47377.37,47566.66,47220.00,47281.81,4123.594
1641015900000,47281.81,47312.82,47122.22,47184.18,2612.186
1641016800000,47184.19,47314.40,47073.35,47289.97,2263.719
1641017700000,47289.97,47289.97,47101.77,47120.22,1466.820
1641018600000,47120.22,47194.85,47094.00,47150.40,953.127
1641019500000,47150.41,47230.29,46914.84,46972.19,2791.174
1641020400000,46972.19,47036.64,46867.00,46980.00,2166.332
1641021300000,46980.01,47046.00,46935.71,46950.34,1054.747
1641022200000,46950.35,47119.71,46936.50,47088.09,1066.639
1641023100000,47088.10,47247.44,47060.00,47186.83,1940.155
1641024000000,47186.83,47223.20,47060.74,47144.69,1585.716
1641024900000,47144.68,47338.00,47140.45,47305.26,2186.637
1641025800000,47304.98,47310.77,47157.74,47207.60,1184.629
1641026700000,47210.99,47260.61,47080.02,47117.84,1337.533
1641027600000,47118.78,47200.00,47053.91,47200.00,1109.508
1641028500000,47199.99,47200.00,47069.12,47082.73,897.957
1641029400000,47082.74,47118.99,46920.02,46976.22,2174.110
1641030300000,46976.22,47143.64,46945.51,47137.37,1330.859
1641031200000,47137.01,47293.76,47101.01,47101.02,2314.391
1641032100000,47101.01,47101.01,46794.57,46859.99,3369.739
1641033000000,46859.99,47017.54,46700.09,46971.16,4256.162
1641033900000,46971.16,47085.89,46860.00,46864.09,1918.946
1641034800000,46867.57,46961.45,46859.36,46923.31,1118.526
1641035700000,46921.64,47003.92,46889.06,46956.19,1270.431
1641036600000,46955.63,46987.45,46810.00,46941.01,1513.913
1641037500000,46941.00,46977.00,46750.00,46755.01,1852.230
1641038400000,46755.01,46988.88,46755.01,46988.88,1553.051
1641039300000,46989.00,47013.98,46872.31,46954.99,1162.575
1641040200000,46955.00,47148.00,46938.65,47000.32,2218.136
1641041100000,47000.32,47128.76,47000.00,47062.37,1068.911
1641042000000,47062.37,47144.98,47012.28,47126.45,1380.017
1641042900000,47129.73,47200.00,46967.00,47015.73,2229.513
1641043800000,47015.72,47075.27,46907.65,47056.29,1497.116
1641044700000,47054.16,47066.26,46953.64,47005.55,748.536
1641045600000,47005.55,47053.68,46924.18,46956.96,1073.945
1641046500000,46956.96,47105.19,46956.96,47018.78,1180.843
1641047400000,47018.78,47033.01,46830.23,46895.01,2100.487
1641048300000,46895.01,46962.61,46870.00,46909.20,980.620
