open_time,open,high,low,close,volume
1640995200000,3676.01,3705.90,3676.01,3691.50,15789.481
1640996100000,3691.50,3698.98,3684.66,3696.81,5576.187
1640997000000,3696.81,3716.61,3693.44,3712.52,10722.556
1640997900000,3712.51,3730.00,3709.47,3721.67,13747.696
1640998800000,3721.67,3727.04,3712.65,3726.16,10340.489
1640999700000,3726.16,3747.78,3725.23,3736.88,16100.459
1641000600000,3736.88,3741.30,3730.84,3732.27,5399.426
1641001500000,3732.27,3732.99,3721.71,3723.71,7378.732
1641002400000,3723.72,3729.00,3721.38,3725.56,5438.751
1641003300000,3725.62,3735.42,3725.62,3727.76,4819.160
1641004200000,3727.77,3728.64,3721.15,3727.26,3492.188
1641005100000,3727.27,3734.00,3724.99,3727.03,4853.111
1641006000000,3727.04,3728.66,3720.91,3727.48,3695.470
1641006900000,3727.49,3734.62,3725.25,3727.49,3149.940
1641007800000,3727.51,3730.76,3725.44,3729.45,2224.910
1641008700000,3729.45,3729.98,3720.56,3722.07,3543.231
1641009600000,3722.07,3726.63,3710.51,3711.74,5779.757
1641010500000,3711.95,3718.57,3710.46,3715.63,7270.943
1641011400000,3715.62,3717.13,3707.40,3714.28,7866.435
1641012300000,3714.28,3721.75,3706.00,3707.30,7078.330
1641013200000,3707.29,3714.59,3702.33,3714.56,7990.661
1641014100000,3714.52,3758.99,3711.15,3749.77,23940.044
1641015000000,3749.76,3764.03,3742.68,3743.56,14617.467
1641015900000,3743.57,3744.50,3728.00,3735.39,8805.541
1641016800000,3735.39,3742.43,3726.32,3740.09,7317.813
1641017700000,3740.09,3740.90,3724.79,3726.71,5141.732
1641018600000,3726.99,3730.77,3720.92,3722.72,4289.727
1641019500000,3722.73,3727.25,3706.80,3710.97,10203.134
1641020400000,3710.97,3713.44,3701.16,3707.72,7922.684
1641021300000,3707.85,3715.73,3706.09,3707.58,4573.024
1641022200000,3707.58,3721.29,3703.52,3721.29,6869.557
1641023100000,3721.29,3724.63,3709.50,3714.77,11987.671
1641024000000,3714.77,3718.28,3707.51,3716.12,5827.850
1641024900000,3716.13,3725.00,3715.52,3721.16,5693.953
1641025800000,3721.15,3724.32,3715.34,3721.74,5636.929
1641026700000,3721.59,3733.33,3720.00,3720.98,13189.749
1641027600000,3720.98,3729.88,3716.00,3728.73,8007.305
1641028500000,3728.73,3729.20,3720.00,3721.98,4137.750
1641029400000,3721.98,3725.99,3707.59,3713.17,7270.542
1641030300000,3713.16,3719.06,3710.13,3717.47,3614.395
1641031200000,3717.46,3731.70,3716.58,3719.07,9324.267
1641032100000,3719.07,3719.15,3685.59,3690.50,22340.214
1641033000000,3690.51,3699.00,3671.86,3697.68,23487.314
1641033900000,3697.68,3707.06,3688.96,3690.72,14821.354
1641034800000,3690.76,3702.66,3690.22,3701.44,6341.727
1641035700000,3701.45,3711.62,3700.49,3706.00,7898.659
1641036600000,3705.57,3707.99,3696.02,3704.68,6631.313
1641037500000,3704.78,3707.81,3692.00,3692.08,6560.358
1641038400000,3692.09,3707.66,3692.08,3707.65,5186.495
1641039300000,3707.65,3708.83,3697.10,3700.48,3620.838
1641040200000,3700.48,3715.00,3700.47,3705.44,10030.338
1641041100000,3705.44,3718.00,3705.23,3715.15,5187.527
1641042000000,3715.43,3724.26,3709.04,3718.38,7741.017
1641042900000,3718.38,3721.08,3707.78,3713.11,6164.342
1641043800000,3713.11,3720.10,3706.82,3718.58,3590.759
1641044700000,3718.58,3718.58,3704.48,3708.68,6601.657
1641045600000,3708.66,3711.67,3703.01,3705.01,4478.532
1641046500000,3705.01,3712.25,3703.59,3709.15,5652.767
1641047400000,3709.15,3710.50,3690.78,3700.47,9930.777
1641048300000,3700.48,3704.92,3696.00,3696.00,3331.980
1641049200000,3696.00,3708.75,3691.41,3704.51,6012.124
1641050100000,3704.51,3712.74,3701.88,3711.61,3708.054
1641051000000,3711.61,3744.99,3710.37,3733.01,29198.745
1641051900000,3733.01,3741.78,3715.81,3723.98,16366.626
1641052800000,3723.98,3742.00,3716.43,3735.41,11419.344
1641053700000,3735.64,3747.66,3729.00,3743.02,9584.984
1641054600000,3743.01,3745.85,3734.00,3738.19,9524.305
1641055500000,3738.19,3742.53,3723.21,3726.46,7496.103
1641056400000,3726.46,3734.69,3725.58,3727.58,4866.073
1641057300000,3727.58,3734.99,3726.58,3732.65,3655.774
1641058200000,3732.65,3761.00,3732.56,3755.38,17873.493
1641059100000,3755.39,3762.80,3748.00,3758.81,12117.531
1641060000000,3758.77,3765.00,3749.27,3752.88,8047.602
1641060900000,3752.88,3755.81,3743.07,3747.19,5831.200
1641061800000,3747.19,3749.22,3737.97,3742.33,8266.439
1641062700000,3742.34,3754.96,3739.27,3750.16,5912.669
1641063600000,3750.16,3755.90,3743.65,3747.59,4146.453
1641064500000,3747.59,3747.59,3733.55,3742.07,4917.126
1641065400000,3742.07,3743.91,3732.99,3736.14,4431.032
1641066300000,3736.14,3747.14,3734.67,3745.22,3359.531
1641067200000,3745.22,3746.86,3740.24,3744.57,2935.940
1641068100000,3744.56,3751.00,3738.00,3750.01,3787.799
1641069000000,3750.00,3776.33,3748.92,3759.86,16451.087
1641069900000,3759.86,3765.00,3754.42,3759.10,5557.106
