category,value,trades,wins,losses,win_rate_pct,profit_factor,gross_profit,gross_loss,net_profit,average_trade
side,LONG,824,302,522,36.650485436893206,0.7822839452569137,1496.3418501855356,1912.786091620626,-416.44424143509053,-0.5053934968872458
side,SHORT,870,313,557,35.97701149425288,0.7638887940181208,1591.7905390850274,2083.7987826893914,-492.0082436043636,-0.5655267167866248
score,0,64,17,47,26.5625,0.3510497199573924,28.755970375840924,81.91423818634891,-53.15826781050798,-0.8305979345391872
score,1,1588,580,1008,36.523929471032744,0.7684932645963881,2901.8177139954173,3775.9832749080097,-874.1655609125928,-0.5504820912547813
score,2,42,18,24,42.857142857142854,1.1360711136056714,157.55870489930493,138.6873612156583,18.871343683646636,0.4493177067534913
adx,15-20,958,360,598,37.578288100208766,0.8166081268834883,1836.7179469442708,2249.203610003173,-412.48566305890256,-0.43056958565647446
adx,20-25,503,164,339,32.60437375745527,0.6724650873719866,834.5284126673062,1240.9988686976565,-406.4704560303505,-0.8080923579132216
adx,<15,233,91,142,39.05579399141631,0.8232632754886049,416.8860296589861,506.38239560918737,-89.4963659502012,-0.38410457489356736
rsi,30-35,619,226,393,36.51050080775444,0.7735511477023791,1095.5140551997165,1416.214116485561,-320.70006128584424,-0.5180937985231733
rsi,70-75,161,52,109,32.298136645962735,0.6667277242466134,278.49489193802384,417.7040819064731,-139.2091899684493,-0.8646533538412999
rsi,65-70,649,241,408,37.13405238828968,0.8003437990053184,1211.099175260578,1513.2236630879802,-302.12448782740194,-0.4655230937248104
rsi,25-30,152,58,94,38.15789473684211,0.8745063751700322,304.05271364851205,347.6849595171841,-43.63224586867207,-0.28705424913600047
rsi,20-25,47,17,30,36.17021276595745,0.7030829698824399,89.5891026769926,127.42322956844265,-37.83412689145002,-0.8049814232223408
rsi,75-80,52,16,36,30.76923076923077,0.5572963977376577,75.49628951768412,135.46882740344452,-59.97253788576041,-1.1533180362646234
rsi,<20,6,1,5,16.666666666666664,0.3347954849979651,7.185978660314304,21.463786049438454,-14.27780738912415,-2.379634564854025
rsi,80+,8,4,4,50.0,1.5342983403546784,26.700182368741444,17.40221029149341,9.297972077248033,1.1622465096560042
