side,reason,count,share_of_side_setups_pct
LONG,valid,141,9.258043335521995
LONG,no_next_open,0,0.0
LONG,stop_missing,0,0.0
LONG,stop_wrong_side,1382,90.74195666447801
LONG,tp1_wrong_side,0,0.0
LONG,tp2_wrong_side,0,0.0
SHORT,valid,153,8.97887323943662
SHORT,no_next_open,0,0.0
SHORT,stop_missing,0,0.0
SHORT,stop_wrong_side,1551,91.02112676056338
SHORT,tp1_wrong_side,0,0.0
SHORT,tp2_wrong_side,0,0.0
ALL,valid,294,9.11062906724512
ALL,no_next_open,0,0.0
ALL,stop_missing,0,0.0
ALL,stop_wrong_side,2933,90.88937093275487
ALL,tp1_wrong_side,0,0.0
ALL,tp2_wrong_side,0,0.0
