category,trade_id,result,side,entry_time,exit_time,net_pnl,file
successful,730,WIN,SHORT,2026-04-06 21:00:00+00:00,2026-04-07 22:00:00+00:00,7.284745122208367,reports\trade_charts\successful\successful_trade_0730_short_win.png
successful,735,WIN,LONG,2026-04-12 23:00:00+00:00,2026-04-13 19:30:00+00:00,14.966534978783415,reports\trade_charts\successful\successful_trade_0735_long_win.png
successful,736,WIN,SHORT,2026-04-15 20:00:00+00:00,2026-04-17 08:45:00+00:00,14.369807868977096,reports\trade_charts\successful\successful_trade_0736_short_win.png
successful,738,WIN,SHORT,2026-04-23 01:00:00+00:00,2026-04-27 00:45:00+00:00,7.160579974257915,reports\trade_charts\successful\successful_trade_0738_short_win.png
successful,739,WIN,SHORT,2026-04-27 04:00:00+00:00,2026-04-27 15:15:00+00:00,30.31039051221952,reports\trade_charts\successful\successful_trade_0739_short_win.png
successful,740,WIN,SHORT,2026-04-27 15:15:00+00:00,2026-04-29 18:00:00+00:00,30.902820076024,reports\trade_charts\successful\successful_trade_0740_short_win.png
successful,745,WIN,LONG,2026-05-08 14:15:00+00:00,2026-05-10 23:00:00+00:00,30.673833470272477,reports\trade_charts\successful\successful_trade_0745_long_win.png
successful,747,WIN,LONG,2026-05-18 18:45:00+00:00,2026-05-22 19:30:00+00:00,7.359309460082017,reports\trade_charts\successful\successful_trade_0747_long_win.png
successful,754,WIN,SHORT,2026-06-08 13:15:00+00:00,2026-06-09 14:15:00+00:00,29.919711131328512,reports\trade_charts\successful\successful_trade_0754_short_win.png
successful,756,WIN,LONG,2026-06-10 09:45:00+00:00,2026-06-11 10:45:00+00:00,30.328977940248993,reports\trade_charts\successful\successful_trade_0756_long_win.png
failed,752,LOSS,SHORT,2026-06-08 08:15:00+00:00,2026-06-08 11:30:00+00:00,-6.491846296082365,reports\trade_charts\failed\failed_trade_0752_short_loss.png
failed,753,LOSS,SHORT,2026-06-08 12:00:00+00:00,2026-06-08 12:45:00+00:00,-12.929320134862152,reports\trade_charts\failed\failed_trade_0753_short_loss.png
failed,755,LOSS,LONG,2026-06-10 05:45:00+00:00,2026-06-10 09:15:00+00:00,-6.527229298979832,reports\trade_charts\failed\failed_trade_0755_long_loss.png
failed,757,LOSS,SHORT,2026-06-11 14:15:00+00:00,2026-06-11 17:30:00+00:00,-13.270974691913306,reports\trade_charts\failed\failed_trade_0757_short_loss.png
failed,758,LOSS,SHORT,2026-06-11 18:30:00+00:00,2026-06-11 19:30:00+00:00,-13.159823646141367,reports\trade_charts\failed\failed_trade_0758_short_loss.png
failed,759,LOSS,SHORT,2026-06-11 20:00:00+00:00,2026-06-12 15:00:00+00:00,-6.524801772965219,reports\trade_charts\failed\failed_trade_0759_short_loss.png
failed,760,LOSS,SHORT,2026-06-12 15:45:00+00:00,2026-06-13 21:30:00+00:00,-12.99495507003823,reports\trade_charts\failed\failed_trade_0760_short_loss.png
failed,761,LOSS,SHORT,2026-06-14 06:30:00+00:00,2026-06-14 21:15:00+00:00,-12.88611582655208,reports\trade_charts\failed\failed_trade_0761_short_loss.png
failed,762,LOSS,LONG,2026-06-17 20:15:00+00:00,2026-06-18 05:00:00+00:00,-6.380704463521989,reports\trade_charts\failed\failed_trade_0762_long_loss.png
failed,763,LOSS,LONG,2026-06-18 05:30:00+00:00,2026-06-18 15:15:00+00:00,-6.3540187565622785,reports\trade_charts\failed\failed_trade_0763_long_loss.png
recent,754,WIN,SHORT,2026-06-08 13:15:00+00:00,2026-06-09 14:15:00+00:00,29.919711131328512,reports\trade_charts\recent\recent_trade_0754_short_win.png
recent,755,LOSS,LONG,2026-06-10 05:45:00+00:00,2026-06-10 09:15:00+00:00,-6.527229298979832,reports\trade_charts\recent\recent_trade_0755_long_loss.png
recent,756,WIN,LONG,2026-06-10 09:45:00+00:00,2026-06-11 10:45:00+00:00,30.328977940248993,reports\trade_charts\recent\recent_trade_0756_long_win.png
recent,757,LOSS,SHORT,2026-06-11 14:15:00+00:00,2026-06-11 17:30:00+00:00,-13.270974691913306,reports\trade_charts\recent\recent_trade_0757_short_loss.png
recent,758,LOSS,SHORT,2026-06-11 18:30:00+00:00,2026-06-11 19:30:00+00:00,-13.159823646141367,reports\trade_charts\recent\recent_trade_0758_short_loss.png
recent,759,LOSS,SHORT,2026-06-11 20:00:00+00:00,2026-06-12 15:00:00+00:00,-6.524801772965219,reports\trade_charts\recent\recent_trade_0759_short_loss.png
recent,760,LOSS,SHORT,2026-06-12 15:45:00+00:00,2026-06-13 21:30:00+00:00,-12.99495507003823,reports\trade_charts\recent\recent_trade_0760_short_loss.png
recent,761,LOSS,SHORT,2026-06-14 06:30:00+00:00,2026-06-14 21:15:00+00:00,-12.88611582655208,reports\trade_charts\recent\recent_trade_0761_short_loss.png
recent,762,LOSS,LONG,2026-06-17 20:15:00+00:00,2026-06-18 05:00:00+00:00,-6.380704463521989,reports\trade_charts\recent\recent_trade_0762_long_loss.png
recent,763,LOSS,LONG,2026-06-18 05:30:00+00:00,2026-06-18 15:15:00+00:00,-6.3540187565622785,reports\trade_charts\recent\recent_trade_0763_long_loss.png
